clip_id,start,end,center,score,seed_based,aligned,length
1,45.612,73.129,55.612,0.834,False,False,27.517
2,91.611,120.889,101.611,0.952,False,False,29.279
3,91.680,120.414,101.680,0.916,False,False,28.733
